ts,date,username,label,followers,media_count,is_own
2026-08-10,2026-08-10,musinsa.official,무신사,551500,19280,0
2026-08-10,2026-08-10,toss.im,토스,79892,984,0
2026-08-10,2026-08-10,todayhouse,오늘의집,1305255,13224,0
2026-08-10,2026-08-10,naver_official,네이버,143200,820,0
2026-08-10,2026-08-10,omg_electronics,오목교 전자상가,7297,50,0
2026-08-10,2026-08-10,29cm.home,29CM 홈,137607,955,0
2026-08-10,2026-08-10,pineinfo_insta,파인인포,13425,228,0
2026-08-10 12:34,2026-08-10,musinsa.official,무신사,551503,19280,0
2026-08-10 12:34,2026-08-10,toss.im,토스,79892,984,0
2026-08-10 12:34,2026-08-10,todayhouse,오늘의집,1305257,13224,0
2026-08-10 12:34,2026-08-10,naver_official,네이버,143200,820,0
2026-08-10 12:34,2026-08-10,omg_electronics,오목교 전자상가,7297,50,0
2026-08-10 12:34,2026-08-10,29cm.home,29CM 홈,137608,955,0
2026-08-10 12:34,2026-08-10,pineinfo_insta,파인인포,13425,228,0
2026-08-10 12:34,2026-08-10,gmarket_official,지마켓,296495,2264,0
2026-08-10 12:34,2026-08-10,kream.co.kr,크림,372885,3574,0
2026-08-10 12:34,2026-08-10,marketkurly,컬리,212629,3133,0
2026-08-10 17:01,2026-08-10,musinsa.official,무신사,551550,19280,0
2026-08-10 17:01,2026-08-10,toss.im,토스,79905,984,0
2026-08-10 17:01,2026-08-10,todayhouse,오늘의집,1305280,13225,0
2026-08-10 17:01,2026-08-10,naver_official,네이버,143216,821,0
2026-08-10 17:01,2026-08-10,omg_electronics,오목교 전자상가,7300,51,0
2026-08-10 17:01,2026-08-10,29cm.home,29CM 홈,137630,955,0
2026-08-10 17:01,2026-08-10,pineinfo_insta,파인인포,13427,228,0
2026-08-10 17:01,2026-08-10,gmarket_official,지마켓,296501,2264,0
2026-08-10 17:01,2026-08-10,kream.co.kr,크림,372889,3574,0
2026-08-10 17:01,2026-08-10,marketkurly,컬리,212678,3133,0
2026-08-11 09:01,2026-08-11,musinsa.official,무신사,551579,19281,0
2026-08-11 09:01,2026-08-11,toss.im,토스,80070,985,0
2026-08-11 09:01,2026-08-11,todayhouse,오늘의집,1305271,13227,0
2026-08-11 09:01,2026-08-11,naver_official,네이버,143283,821,0
2026-08-11 09:01,2026-08-11,omg_electronics,오목교 전자상가,7298,54,0
2026-08-11 09:01,2026-08-11,29cm.home,29CM 홈,137942,956,0
2026-08-11 09:01,2026-08-11,pineinfo_insta,파인인포,13420,228,0
2026-08-11 09:01,2026-08-11,gmarket_official,지마켓,296500,2264,0
2026-08-11 09:01,2026-08-11,kream.co.kr,크림,372813,3574,0
2026-08-11 09:01,2026-08-11,marketkurly,컬리,212926,3133,0
2026-08-12 09:01,2026-08-12,toss.im,토스,80271,986,0
2026-08-12 09:01,2026-08-12,todayhouse,오늘의집,1305197,13231,0
2026-08-12 09:01,2026-08-12,naver_official,네이버,143435,822,0
2026-08-12 09:01,2026-08-12,omg_electronics,오목교 전자상가,7291,54,0
2026-08-12 09:01,2026-08-12,29cm.home,29CM 홈,138059,957,0
2026-08-12 09:01,2026-08-12,pineinfo_insta,파인인포,13402,229,0
2026-08-12 09:01,2026-08-12,gmarket_official,지마켓,296480,2265,0
2026-08-12 09:01,2026-08-12,kream.co.kr,크림,372680,3575,0
2026-08-12 09:01,2026-08-12,marketkurly,컬리,213309,3133,0
2026-08-12 17:58,2026-08-12,musinsa.official,무신사,551753,19285,0
2026-08-12 17:58,2026-08-12,toss.im,토스,80336,986,0
2026-08-12 17:58,2026-08-12,todayhouse,오늘의집,1305186,13235,0
2026-08-12 17:58,2026-08-12,naver_official,네이버,143487,821,0
2026-08-12 17:58,2026-08-12,omg_electronics,오목교 전자상가,7291,54,0
2026-08-12 17:58,2026-08-12,29cm.home,29CM 홈,138086,958,0
